,ScientificName,CommonName,SC,SMC,MUCode,MUName,Season,Region,level3,Macrogroup
9529,Aneides lugubris,Arboreal Salamander,aARSAx,aARSAx-y1,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Northwest,4317,Californian Forest & Woodland
9530,Aneides lugubris,Arboreal Salamander,aARSAx,aARSAx-y4,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Southwest,4317,Californian Forest & Woodland
8835,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4122,Ouachita Montane Oak Forest                                                                        ,year-round,Southeast,4122,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3737,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4115,Ozark-Ouachita Dry-Mesic Oak Forest                                                                ,year-round,Southeast,4115,Southern & South-Central Oak - Hickory - Pine Forest & Woodland
3911,Plethodon caddoensis,Caddo Mountain Salamander,aCMSAx,aCMSAx-y6,4207,Ozark-Ouachita Mesic Hardwood Forest                                                               ,year-round,Southeast,4207,Central Midwest Mesic Forest
5159,Plethodon kentucki,Cumberland Plateau Salamander,aCPSAx,aCPSAx-y6,4401,Southern and Central Appalachian Cove Forest                                                       ,year-round,Southeast,4401,Appalachian-Central Interior-Northeastern Mesic Forest
1618,Plethodon kentucki,Cumberland Plateau Salamander,aCPSAx,aCPSAx-y6,4402,South-Central Interior Mesophytic Forest                                                           ,year-round,Southeast,4402,Appalachian-Central Interior-Northeastern Mesic Forest
9491,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4606,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest                                ,year-round,Northwest,4606,Vancouverian Lowland & Montane Forest
967,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4545,California Coastal Closed-Cone Conifer Forest and Woodland                                         ,year-round,Northwest,4545,Californian Forest & Woodland
6506,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4607,North Pacific Mesic Western Hemlock-Silver Fir Forest                                              ,year-round,Northwest,4607,Vancouverian Lowland & Montane Forest
4782,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4613,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest                               ,year-round,Northwest,4613,Vancouverian Lowland & Montane Forest
9623,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4320,Mediterranean California Mixed Evergreen Forest                                                    ,year-round,Northwest,4320,Californian Forest & Woodland
6463,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4547,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest                              ,year-round,Northwest,4547,Vancouverian Lowland & Montane Forest
9552,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4317,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland                       ,year-round,Northwest,4317,Californian Forest & Woodland
2097,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,8401,Introduced Upland Vegetation - Treed,year-round,Northwest,8401,Introduced & Semi Natural Vegetation
4222,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4519,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland                               ,year-round,Northwest,4519,Southern Vancouverian Montane-Foothill Forest
9841,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4148,North Pacific Broadleaf Landslide Forest and Shrubland                                             ,year-round,Northwest,4148,Vancouverian Lowland & Montane Forest
7540,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4601,California Coastal Redwood Forest                                                                  ,year-round,Northwest,4601,Vancouverian Lowland & Montane Forest
6088,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4338,North Pacific Lowland Mixed Hardwood-Conifer Forest and Woodland                                   ,year-round,Northwest,4338,Vancouverian Lowland & Montane Forest
7585,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4604,North Pacific Hypermaritime Sitka Spruce Forest                                                    ,year-round,Northwest,4604,Vancouverian Lowland & Montane Forest
416,Batrachoseps attenuatus,California Slender Salamander,aCSLSx,aCSLSx-y1,4522,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest                                ,year-round,Northwest,4522,Vancouverian Lowland & Montane Forest
